ID;dteday;hr;weathersit;temp;atemp;hum;windspeed;season;casual
10218;06/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,3182;0,49;0,194;;3
1022;15/02/2011;7;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,1818;0,32;0,3582;;2
10220;06/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2727;0,56;0,1642;;5
10221;06/03/2012;23;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2727;0,61;0,2239;;3
10223;07/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,61;0,2985;;1
10224;07/03/2012;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2879;0,56;0,2836;;0
1023;15/02/2011;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,1818;0,32;0,3582;;10
10231;07/03/2012;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,61;0,3284;;12
10236;07/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;;0,5;0,36;0,3284;;38
10237;07/03/2012;15;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,37;0,4478;;44
1024;15/02/2011;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,197;0,29;0,4478;;2
10240;07/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,4;0,4627;;35
10241;07/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,42;0,3582;;16
10247;08/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,63;0,3284;;4
10250;08/03/2012;4;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,72;0,2836;;0
10251;08/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,77;0,2239;;1
10252;08/03/2012;6;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,77;0,2537;;4
10254;08/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,77;0,3881;;12
10256;08/03/2012;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,68;0,4627;;19
10257;08/03/2012;11;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,54;0,5152;0,6;0,4627;;48
10259;08/03/2012;13;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,6;0,6212;0,49;0,6418;;35
1026;15/02/2011;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2424;0,25;0,2537;;11
10260;08/03/2012;14;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,62;0,6212;0,43;0,6418;;48
10263;08/03/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,62;0,6212;0,38;0,6567;;52
10268;08/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,49;0,3284;;12
10269;08/03/2012;23;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,56;0,5303;0,49;0,4478;;6
1027;15/02/2011;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2727;0,24;0,2537;;6
10272;09/03/2012;2;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,48;0,4697;0,77;0,4179;;2
10274;09/03/2012;4;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,4;0,4091;0,66;0,2836;;0
10275;09/03/2012;5;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,4;0,4091;0,66;0,2836;;2
10279;09/03/2012;9;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,34;0,2879;0,42;0,5224;;17
1028;15/02/2011;13;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,303;0,21;0,2239;;14
10280;09/03/2012;10;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,34;0,2879;0,36;0,4925;;14
10282;09/03/2012;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3333;0,34;0,4179;;27
10284;09/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,42;0,4242;0,28;0,4627;;49
10285;09/03/2012;15;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,24;0,2537;;50
10286;09/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,23;0,4179;;51
10292;09/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,2879;0,31;0,4925;;7
10296;10/03/2012;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2424;0,41;0,2537;;12
10299;10/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2121;0,42;0,2836;;3
103;05/01/2011;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2273;0,33;0,3284;;5
10302;10/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2121;0,44;0,2985;;15
10303;10/03/2012;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2121;0,41;0,3284;;21
10305;10/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2727;0,33;0,3284;;56
10307;10/03/2012;13;Clear, Few clouds, Partly cloudy, Partly cloudy;0,32;0,303;0,29;0,2836;;89
10308;10/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,3182;0,27;0,2836;;117
10311;10/03/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3788;0,23;0;;104
10312;10/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3636;0,21;0,0896;;67
10313;10/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,3636;0,25;0;;25
10315;10/03/2012;21;Clear, Few clouds, Partly cloudy, Partly cloudy;0,3;0,2879;0,39;0,2239;;16
10316;10/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2576;0,44;0,1642;;19
10317;10/03/2012;23;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2576;0,41;0,194;;6
10324;11/03/2012;7;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2273;0,69;0,1343;;2
10325;11/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2273;0,69;0,1343;;4
10328;11/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,36;0,3333;0,43;0,2836;;90
10329;11/03/2012;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,4;0,4091;0,37;0,2985;;146
10333;11/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,31;0,3582;;208
10336;11/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,31;0,2836;;55
1034;15/02/2011;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,28;0,2879;0,26;0,1343;;3
10342;12/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,38;0,3939;0,5;0,1343;;1
10346;12/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,3333;0,61;0,194;;1
10347;12/03/2012;6;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,3485;0,57;0,1045;;2
10349;12/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,3333;0,61;0,1343;;17
1035;15/02/2011;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,26;0,2727;0,33;0,1045;;3
10353;12/03/2012;12;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,39;0,2239;;59
10354;12/03/2012;13;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,54;0,5152;0,32;0,2537;;74
10358;12/03/2012;17;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,62;0,6212;0,38;0,4179;;87
10359;12/03/2012;18;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,6;0,6212;0,43;0,194;;89
10363;12/03/2012;22;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,56;0,5303;0,56;0,2239;;17
10364;12/03/2012;23;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,56;0,2239;;10
10365;13/03/2012;0;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,56;0,5303;0,52;0,194;;5
10367;13/03/2012;2;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,52;0,5;0,72;0,2985;;0
10368;13/03/2012;3;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,52;0,5;0,72;0,2985;;0
10369;13/03/2012;4;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,46;0,4545;0,82;0,194;;0
10370;13/03/2012;5;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,46;0,4545;0,82;0,194;;0
10372;13/03/2012;7;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,46;0,4545;0,82;0,2836;;16
10373;13/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,82;0,2836;;22
10376;13/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,73;0,2836;;64
10379;13/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,64;0,6212;0,53;0,3284;;52
10381;13/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,72;0,6515;0,34;0,3881;;53
10383;13/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,7;0,6364;0,34;0,2985;;96
10384;13/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,64;0,6212;0,47;0,2239;;50
10385;13/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,6;0,6212;0,49;0,1642;;45
1039;16/02/2011;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,22;0,2576;0,41;0,0896;;0
10390;14/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,52;0,5;0,63;0,0896;;2
10391;14/03/2012;2;;0,5;0,4848;0,68;0,194;;0
10393;14/03/2012;4;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,67;0,0896;;1
10399;14/03/2012;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,56;0,1045;;38
10400;14/03/2012;11;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,62;0,6212;0,41;0,1642;;65
10406;14/03/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,7;0,6364;0,28;0,0896;;140
10407;14/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,7;0,6364;0,32;0;;102
1041;16/02/2011;3;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,2;0,197;0,47;0,194;;0
10411;14/03/2012;22;Clear, Few clouds, Partly cloudy, Partly cloudy;0,52;0,5;0,55;0,1343;;43
10413;15/03/2012;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,49;0,1343;;14
10414;15/03/2012;1;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,59;0,1045;;15
10415;15/03/2012;2;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,59;0;;14
10416;15/03/2012;3;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,63;0;;0
10417;15/03/2012;4;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,77;0,1045;;11
10418;15/03/2012;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,46;0,4545;0,67;0;;2
1042;16/02/2011;4;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,197;0,51;0,194;;0
10420;15/03/2012;7;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,72;0,0896;;14
10421;15/03/2012;8;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,77;0,1045;;21
10423;15/03/2012;10;Clear, Few clouds, Partly cloudy, Partly cloudy;0,52;0,5;0,68;0,1045;;34
10424;15/03/2012;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,6;0,1343;;60
10425;15/03/2012;12;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,62;0,6212;0,5;0,1343;;59
10427;15/03/2012;14;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,72;0,6515;0,3;0,1045;;81
10428;15/03/2012;15;Clear, Few clouds, Partly cloudy, Partly cloudy;0,72;0,6515;0,32;0,2239;;100
10429;15/03/2012;16;Clear, Few clouds, Partly cloudy, Partly cloudy;0,72;0,6515;0,37;0,3881;;95
1043;16/02/2011;5;Clear, Few clouds, Partly cloudy, Partly cloudy;0,2;0,197;0,47;0,194;;0
10434;15/03/2012;21;Clear, Few clouds, Partly cloudy, Partly cloudy;0,54;0,5152;0,68;0,2836;;36
10436;15/03/2012;23;Clear, Few clouds, Partly cloudy, Partly cloudy;0,48;0,4697;0,72;0,194;;12
10437;16/03/2012;0;Clear, Few clouds, Partly cloudy, Partly cloudy;0,44;0,4394;0,77;0,2537;;8
10441;16/03/2012;4;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,87;0,2537;;0
10443;16/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,87;0,1642;;3
10444;16/03/2012;7;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,87;0,194;;13
10452;16/03/2012;15;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,46;0,4545;0,82;0,1045;;19
10455;16/03/2012;18;Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds;0,48;0,4697;0,82;0,0896;;31
10456;16/03/2012;19;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,46;0,4545;0,88;0;;23
10458;16/03/2012;21;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,44;0,4394;0,94;0;;8
10464;17/03/2012;3;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,44;0,4394;0,88;0;;2
10466;17/03/2012;5;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,94;0,0896;;5
10467;17/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,94;0,194;;1
10468;17/03/2012;7;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;1;0,1343;;29
1047;16/02/2011;9;Clear, Few clouds, Partly cloudy, Partly cloudy;0,24;0,2121;0,52;0,2836;;2
10470;17/03/2012;9;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,44;0,4394;0,88;0,0896;;104
10471;17/03/2012;10;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,5;0,4848;0,77;0,0896;;140
10475;17/03/2012;14;Clear, Few clouds, Partly cloudy, Partly cloudy;0,62;0,6212;0,53;0,0896;;352
10476;17/03/2012;15;Clear, Few clouds, Partly cloudy, Partly cloudy;0,64;0,6212;0,53;0,1343;;357
10479;17/03/2012;18;Clear, Few clouds, Partly cloudy, Partly cloudy;0,62;0,6212;0,57;0,2985;;221
10480;17/03/2012;19;Clear, Few clouds, Partly cloudy, Partly cloudy;0,58;0,5455;0,64;0,2836;;155
10481;17/03/2012;20;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,64;0,194;;89
10484;17/03/2012;23;Clear, Few clouds, Partly cloudy, Partly cloudy;0,5;0,4848;0,77;0,1642;;34
10489;18/03/2012;4;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,94;0,1642;;6
1049;16/02/2011;11;Clear, Few clouds, Partly cloudy, Partly cloudy;0,34;0,303;0,34;0,2985;;7
10490;18/03/2012;5;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,94;0,1045;;0
10491;18/03/2012;6;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,4;0,4091;0,94;0,1045;;2
10493;18/03/2012;8;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,88;0,1045;;25
10495;18/03/2012;10;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,42;0,4242;0,88;0,1045;;139
10496;18/03/2012;11;Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist;0,44;0,4394;0,82;0,1642;;129
10502;18/03/2012;17;Clear, Few clouds, Partly cloudy, Partly cloudy;0,56;0,5303;0,64;0,0896;;233
